Archivo;Tamaño(K);Cant Palabras Inicial;Cant Palabras depuradas;Vocabulario Inicial;Vocabulario Final
1501.07637.txt;86;15783;13282;1930;1177
1402.6208.txt;29;4672;4529;1275;806
1210.4959.txt;43;8218;7652;1045;609
1401.8219.txt;39;7499;5499;1098;682
0907.3965.txt;79;14040;12603;1562;964
1501.04318.txt;23;3841;3421;938;628
1505.07368.txt;113;18477;16676;3288;1946
1509.05664.txt;69;12139;9741;1427;858
1302.4808.txt;84;14395;13020;1767;1040
1509.01676.txt;49;8457;7087;1564;1007
1507.05995.txt;18;3007;2591;647;432
1412.4198.txt;26;5093;4099;809;519
1006.1029.txt;44;6641;5930;1561;1039
1204.6445.txt;166;34919;25056;2044;1256
1312.2674.txt;63;11168;9209;1674;1078
1506.00571.txt;31;4816;3892;478;299
1510.03895.txt;85;15706;12093;1793;1131
1511.09259.txt;73;14948;11837;1342;827
1410.4617.txt;81;14534;12253;2189;1358
1506.06305.txt;35;5881;4847;1247;837
1511.04944.txt;72;11690;8946;1698;1147
1204.1846.txt;102;20127;15364;1779;1083
1410.5131.txt;220;49959;32394;832;504
1502.05491.txt;98;15990;14016;2397;1533
1206.3862.txt;41;8556;6885;602;397
1501.04706.txt;31;5184;4553;1019;657
1408.2071.txt;73;14418;11790;1544;978
1508.06464.txt;47;7833;7055;1409;909
1504.05895.txt;106;16859;15679;2723;1763
1509.05572.txt;61;11021;9691;1346;860
1506.07990.txt;119;24716;19396;1743;1057
1404.7325.txt;88;17775;13971;1074;641
1510.08797.txt;66;13442;9733;1574;1025
1510.02807.txt;124;23452;16991;1512;913
1511.06444.txt;24;4082;3530;1004;676
1501.05098.txt;63;12265;8418;1462;918
1511.08887.txt;73;14836;11407;1416;913
1511.09156.txt;71;14082;11660;1324;852
1507.02385.txt;45;7503;6299;1522;1045
1506.09145.txt;57;10129;8978;1354;881
0811.2853.txt;86;17072;13111;1782;1132
1510.02923.txt;85;16739;11981;1861;1197
1401.3580.txt;35;6564;5106;997;657
1305.2494.txt;91;17397;12892;1846;1192
1506.04651.txt;78;12109;10852;2312;1493
1104.5286.txt;73;12992;9934;1936;1243
1506.08752.txt;44;8409;6141;997;634
1510.07391.txt;23;3876;3505;870;583
1505.05312.txt;38;6432;5868;1290;799
1005.3010.txt;26;4717;4189;817;515
1312.0049.txt;124;19153;17601;3080;1985
1309.3730.txt;24;3848;3629;900;540
1509.05821.txt;60;11993;9162;1282;817
1409.4575.txt;31;5715;4386;1016;692
1107.0088.txt;70;14800;10097;1485;984
1509.08690.txt;71;13483;11070;1682;1076
1507.05492.txt;47;8059;6824;1014;665
1412.6808.txt;116;21801;17448;2234;1457
1307.7050.txt;42;6871;5752;1401;907
1312.1664.txt;80;13553;12044;1852;1138
1402.6964.txt;44;7552;6615;1434;937
1308.6702.txt;76;14243;10986;1770;1162
1511.08280.txt;36;6079;5667;920;580
1501.00433.txt;136;25641;21174;1950;1227
1506.03437.txt;57;9763;8288;1424;932
1511.08152.txt;51;10399;7893;1088;697
1506.03523.txt;39;6297;5509;1322;842
1411.6057.txt;57;9449;8245;1587;994
1309.6838.txt;43;7627;6126;1073;698
1411.3010.txt;13;2260;1867;642;421
1203.5184.txt;35;6040;4632;1097;728
1206.5336.txt;52;9937;8561;1248;792
1201.6371.txt;36;7164;5491;793;511
1307.4355.txt;126;25908;18231;1739;1063
1511.02683.txt;73;11728;9827;1923;1232
1403.6322.txt;23;3644;3363;904;560
1405.1481.txt;46;8902;7244;1107;713
1212.6879.txt;93;19694;14774;1233;814
0907.3220.txt;19;2959;2693;712;454
1004.4940.txt;21;3582;2720;867;596
1303.2054.txt;44;7283;6283;1366;869
1111.4662.txt;219;45455;35492;2509;1575
1110.2053.txt;437;75217;64384;6009;3475
1402.3175.txt;21;4058;2965;744;480
1111.3048.txt;15;2980;1934;585;378
1511.08189.txt;16;2857;2453;620;404
1508.02759.txt;46;8563;5326;1189;746
1503.06483.txt;27;4492;3954;1016;641
1403.4622.txt;57;11603;8280;1269;785
1106.1445.txt;1774;311961;254078;8395;4898
1510.08578.txt;43;6876;6373;1453;932
1111.7013.txt;25;4951;3825;710;452
1306.3875.txt;29;4870;4141;1017;655
1506.09140.txt;72;13629;11866;1435;862
1104.4987.txt;46;9271;7330;1094;724
1506.07094.txt;73;11228;9804;2087;1321
1503.08381.txt;55;9264;7658;1406;940
1406.0641.txt;191;37326;29151;2028;1175
1408.3869.txt;21;4423;3502;574;383
1412.3347.txt;91;18789;14506;1514;962
1303.3235.txt;56;10210;8002;1433;915
1309.3699.txt;44;8275;6458;1240;820
1306.2595.txt;77;14666;11470;1635;1070
1311.0913.txt;127;24739;19256;2154;1376
1510.01819.txt;50;10105;8674;1185;730
1301.1107.txt;63;11006;9180;1617;1039
1312.1559.txt;63;12253;9486;1361;921
1502.03951.txt;132;24287;20758;2194;1356
1507.04394.txt;45;6716;6227;1564;960
1506.04391.txt;76;11760;10925;2402;1469
