Archivo;Tamaño(K);Cant Palabras Inicial;Cant Palabras depuradas;Vocabulario Inicial;Vocabulario Final
1301.1107.txt;63;11006;9272;1611;991
1312.1559.txt;63;12253;9533;1373;906
1502.03951.txt;132;24287;20915;2184;1275
1507.04394.txt;45;6716;6225;1545;928
1506.04391.txt;76;11760;10795;2378;1374
1402.0485.txt;83;17111;12944;1365;833
1505.07429.txt;36;7606;5938;954;597
1111.0235.txt;71;14528;10458;1463;922
1101.1477.txt;90;17479;14019;1942;1154
1309.6610.txt;101;17419;16459;1785;995
1211.0589.txt;95;19295;14253;1804;1133
1408.0135.txt;31;4156;3557;1105;701
1509.07330.txt;82;15072;12769;1637;956
1203.5414.txt;29;5884;4951;776;476
1502.06464.txt;147;27761;19913;1937;1152
1507.01581.txt;36;5718;4960;1170;745
1405.0718.txt;91;19109;14395;1299;826
1412.2114.txt;10;1623;1527;513;312
1510.07135.txt;84;16872;14364;1349;805
1403.0734.txt;60;10628;8486;1602;985
1104.5288.txt;70;11915;9894;1892;1156
1406.1758.txt;80;16465;12192;1554;927
1311.3414.txt;83;13508;11823;1996;1129
1410.6516.txt;38;7003;5514;911;554
1504.03957.txt;84;14756;12219;1776;1060
1511.06030.txt;40;6751;5984;1391;866
1401.6681.txt;71;13726;11541;1429;884
1503.02196.txt;40;8801;6104;946;609
1511.06860.txt;53;9254;7456;1578;1025
0706.1402.txt;26;4022;3859;1167;712
1405.0982.txt;41;7912;6137;969;602
1503.04522.txt;100;20166;14320;1863;1066
1503.02577.txt;12;2170;1708;488;319
1302.5906.txt;54;10086;7702;1436;941
1509.04857.txt;31;4937;4371;1312;877
1510.02833.txt;74;13201;10814;2155;1331
1507.06011.txt;45;7421;6801;1597;966
1308.1391.txt;101;18267;15568;1750;1039
1307.4062.txt;50;8029;7161;1628;1020
1411.6538.txt;58;11209;6858;1280;768
1508.04720.txt;67;12168;10000;1493;928
1502.02348.txt;84;14505;12182;1607;923
1508.05766.txt;69;14026;11314;1510;948
1510.01591.txt;52;12323;8044;679;436
1311.4766.txt;52;10800;7264;991;591
1212.1710.txt;204;29343;27527;3648;1893
1405.1906.txt;30;5990;4400;924;603
1306.1595.txt;105;20779;16708;1678;1053
1410.7082.txt;28;5500;4409;863;551
1506.01110.txt;50;8218;7003;1556;1001
1206.4809.txt;122;23677;18718;1950;1219
1506.02930.txt;29;4444;3950;1104;720
1104.0746.txt;46;9061;7279;1161;699
1511.03894.txt;29;4616;4129;1048;630
1401.3667.txt;50;9226;7250;1283;761
1505.05451.txt;37;6754;5185;1120;717
1509.08892.txt;97;19720;14918;1940;1206
1411.1124.txt;107;21949;15332;1732;1034
1510.02786.txt;115;23545;17945;1797;1069
1511.05432.txt;38;6219;5543;1197;766
1304.7480.txt;107;20156;16774;2014;1192
1205.4874.txt;43;7504;6204;1057;655
1504.01019.txt;114;20229;16215;2580;1514
1402.6787.txt;46;8402;7010;1306;796
1406.0342.txt;43;8315;6140;1373;859
1409.1467.txt;80;14456;11383;1983;1173
1304.2816.txt;48;7760;6435;1309;762
1411.4097.txt;123;23049;18991;2077;1243
1510.04249.txt;25;3912;2575;505;273
1406.2534.txt;33;5431;4825;1149;724
1409.8498.txt;39;6488;5493;1295;772
1406.2587.txt;162;30486;24773;2982;1804
